Indicadores Demográficos Básicos
Resultados por comunidades autónomas
Tasa Bruta de Natalidad por comunidad autónoma
Unidades: Nacidos por mil habitantes
,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,
Total Nacional,7,94,8,41,8,80,9,02,9,17,9,11,9,69,10,07,10,42,10,65,11,28,10,86,10,85,10,65,10,57,10,44,10,08,9,94,9,78,9,39,9,06,9,20,9,07,9,15,9,35,9,80,10,13,10,16,10,32,10,51,10,79,11,02,11,36,11,85,12,34,12,71,13,57,14,10,15,22,16,17,17,25,17,96,18,73,18,70,
01 Andalucía,8,45,8,89,9,43,9,60,9,80,9,71,10,30,10,72,11,10,11,48,12,28,11,93,12,03,11,76,11,64,11,42,11,01,11,05,11,04,10,84,10,59,10,86,10,78,11,14,11,50,12,24,12,57,12,70,12,90,13,02,13,46,13,74,14,09,14,57,15,35,15,92,16,73,17,07,18,10,18,54,19,37,19,75,20,26,20,05,
02 Aragón,7,58,8,00,8,30,8,59,8,73,8,74,8,94,9,38,9,63,9,72,10,23,9,82,9,57,9,20,9,21,8,93,8,51,8,60,8,26,7,98,7,63,7,83,7,73,7,79,8,05,8,00,8,43,8,23,8,22,8,63,8,94,9,02,9,35,9,76,10,16,10,22,11,14,11,58,12,56,13,11,13,88,14,50,15,05,15,12,
03 Asturias, Principado de,5,60,5,84,6,12,6,18,6,26,6,28,7,12,7,24,7,21,7,63,7,65,7,33,7,14,7,04,6,80,6,69,6,34,6,44,6,31,6,12,5,91,6,05,6,04,6,08,6,12,6,40,6,87,7,07,7,07,7,20,7,69,8,45,9,14,9,45,9,95,10,51,11,01,11,84,12,88,13,74,14,24,15,72,16,27,16,01,
04 Balears, Illes,8,75,8,88,9,29,9,38,9,53,9,46,9,96,10,28,11,00,11,17,12,02,11,62,11,83,11,44,11,68,11,86,12,03,11,78,11,54,10,92,10,41,10,40,10,07,10,13,10,24,10,69,11,70,12,09,12,48,12,62,12,51,12,40,12,70,13,13,13,10,13,34,13,76,14,20,15,15,15,88,16,04,16,97,18,55,18,83,
05 Canarias,6,75,7,29,7,54,7,59,7,74,7,52,8,22,8,40,8,92,9,32,10,28,10,03,10,75,10,73,10,51,10,83,11,24,11,42,11,38,11,40,10,66,10,75,10,69,10,73,10,96,11,44,12,06,12,15,12,56,13,07,13,63,13,52,13,68,13,95,14,72,15,45,16,44,17,46,18,49,19,37,19,93,20,48,21,87,22,20,
06 Cantabria,6,55,7,09,7,30,7,50,7,79,8,21,8,57,9,03,9,46,9,58,10,13,9,39,9,27,9,44,9,18,8,94,8,47,8,01,8,14,7,54,7,20,7,33,7,26,7,03,7,17,7,77,8,15,8,23,8,67,8,74,9,44,9,82,10,23,10,76,11,58,12,46,13,33,14,52,15,41,16,08,17,33,17,66,18,40,17,95,
07 Castilla y León,6,24,6,40,6,82,7,06,7,20,7,11,7,54,7,82,8,05,8,01,8,37,7,94,7,90,7,81,7,64,7,54,7,36,7,15,7,24,6,99,6,89,7,24,7,09,7,15,7,30,7,66,7,88,8,10,8,35,8,66,8,87,9,33,9,74,10,28,10,77,11,14,11,81,12,11,12,80,13,18,13,81,13,89,14,40,13,91,
08 Castilla - La Mancha,7,80,8,29,8,71,8,87,8,90,9,15,9,71,10,16,10,52,10,75,11,24,10,42,10,50,10,03,10,01,9,95,9,63,9,56,9,57,9,64,9,43,9,75,9,78,10,17,10,46,10,75,11,25,11,27,11,52,11,79,11,75,11,98,12,18,12,33,12,91,13,18,13,78,14,01,14,22,14,49,15,07,14,84,15,55,15,20,
09 Cataluña,8,46,8,97,9,29,9,53,9,67,9,62,10,33,10,83,11,28,11,44,12,10,11,62,11,63,11,49,11,35,11,03,10,59,10,28,10,13,9,51,9,10,9,15,8,85,8,79,8,89,9,15,9,45,9,32,9,37,9,43,9,59,9,65,10,06,10,75,10,53,10,35,11,20,11,50,13,49,15,07,16,90,18,18,18,82,20,04,
10 Comunitat Valenciana,7,68,8,18,8,52,8,81,8,96,8,90,9,52,9,89,10,36,10,51,11,51,11,19,11,14,10,95,10,89,10,80,10,39,10,19,9,90,9,49,9,09,9,13,9,13,9,23,9,38,9,86,10,20,10,27,10,47,10,49,10,82,10,95,11,35,11,77,12,41,12,85,14,02,14,94,16,10,17,34,18,43,19,20,19,79,19,55,
11 Extremadura,7,33,7,92,8,12,8,18,8,38,8,09,8,55,9,01,9,20,9,40,9,84,9,19,9,39,9,32,9,28,9,38,9,24,9,36,9,57,9,50,9,48,9,72,9,92,10,18,10,60,11,07,11,61,11,78,11,86,12,36,12,89,13,16,13,27,13,25,13,71,14,29,14,85,14,55,15,04,14,59,14,60,14,27,14,70,14,47,
12 Galicia,6,14,6,82,7,03,7,13,7,17,7,17,7,63,7,79,7,95,8,14,8,40,7,92,7,83,7,74,7,60,7,54,7,16,7,18,7,19,6,95,6,84,6,88,6,84,6,90,7,21,7,80,7,92,8,03,8,20,8,56,8,86,9,28,9,38,10,15,10,88,11,41,12,16,12,91,13,97,14,71,15,75,15,85,16,32,16,04,
13 Madrid, Comunidad de,8,74,9,31,9,79,10,14,10,27,10,22,10,80,11,24,11,57,11,95,12,54,12,16,11,98,11,73,11,88,11,75,11,36,11,05,10,58,9,80,9,28,9,33,9,17,9,17,9,36,9,82,10,14,9,96,10,13,10,36,10,51,10,92,11,23,11,75,12,38,12,71,13,80,14,64,15,70,17,42,18,91,20,20,21,73,21,67,
